learning_gains,condition,presence,cognitive_load
3,High,46,9
4,High,51,1
3,High,49,2
6,High,52,3
6,High,48,5
6,High,41,5
7,High,46,5
6,Medium,56,4
5,High,44,2
5,Medium,56,4
1,Low,32,2
1,Low,3,4
1,Low,6,2
3,Medium,38,4
6,Medium,53,0
-1,Low,40,3
1,Low,38,6
1,Low,0,3
0,Low,3,1
1,Low,7,3
0,Low,6,0
5,Medium,60,0
0,Low,0,2
4,Medium,12,1
3,Medium,40,2
1,Low,47,3
3,Medium,27,4
5,Low,46,1
4,Medium,54,0
0,Medium,37,5
4,Medium,47,1
3,Medium,26,2
4,High,50,4
4,High,57,0
3,High,46,2
5,High,47,0
6,High,44,0
5,High,47,9
4,Medium,41,2
3,Medium,52,2
5,High,45,2
3,Medium,41,1
0,Low,0,0
4,High,52,5
3,High,50,0
4,Medium,44,1
4,High,47,0
3,High,48,1
-1,Low,0,0
-1,Low,29,3
4,High,20,12
1,Medium,54,3
0,Low,0,0
4,High,53,2
0,Low,8,0
4,Medium,45,3
1,High,52,2
-1,Low,6,2
3,Medium,45,5
4,High,54,1
5,High,41,1
1,Low,27,4
-1,Low,12,0
0,Low,52,2
0,Low,0,0
0,Low,0,0
6,Medium,30,1
3,High,51,3
5,High,41,3
4,High,45,3
6,High,47,1
3,High,0,0
2,Low,40,5
2,Low,7,2
1,Low,0,4
4,Medium,30,2
1,Medium,54,1
-1,Low,50,2
5,Medium,42,2
5,Medium,43,0
5,Medium,0,0
0,Low,47,1
3,High,44,2
5,Medium,41,6
3,Low,7,1
0,Low,0,5
3,Medium,50,2
4,Medium,49,3
-1,Low,60,5
6,Medium,11,4
-2,Low,0,0
4,Medium,40,2
1,Low,0,0
5,High,42,7
4,Medium,43,5
0,Low,0,2
4,High,43,2
3,Medium,45,3
2,Low,43,0
0,Low,0,5
2,Medium,55,0
2,Low,0,2
4,Medium,50,0
4,High,42,4
3,Medium,52,3
3,Medium,43,0
0,High,37,2
2,High,29,3
